Name,City,Latitude,Longitude,Address,Rating,SchoolType
"Lennox Mathematics, Science And Technology Academy",Lennox,33.93531,-118.351944,90304,9,charter
Temescal Valley Elementary School,Norco,33.786343,-117.498001,92883,9,public
Hidden Hills Elementary School,Danville,37.764523,-121.893036,94582,9,public
Windemere Ranch Middle School,Danville,37.75172,-121.907127,94582,9,public
Solana Pacific Elementary School,Solana Beach,32.951542,-117.231277,92130,9,public
Lakeview Elementary School,Rescue,38.698559,-121.09565,95762,9,public
James S. Fugman Elementary School,Clovis,36.892902,-119.757126,93730,9,public
Carmenita Middle School,Cerritos,33.881031,-118.045372,90703,9,public
Cerritos Elementary School,Cerritos,33.864704,-118.041275,90703,9,public
Heritage High School,Brentwood,37.921856,-121.755722,94513,9,public
Kearny Digital Media & Design School,San Diego,32.800175,-117.160545,92111,9,public
Salt Creek Elementary School,Chula Vista,32.647465,-116.94854,91914,9,public
Orthopaedic Hospital,Los Angeles,34.028843,-118.27121,90007,9,public
Leal (Frank C.) Elementary School,Cerritos,33.860954,-118.056274,90703,9,public
Woods (Harold L.) Elementary School,Clovis,36.860935,-119.702919,93619,9,public
Bullis Charter School,San Jose,37.396835,-122.116463,94022,9,charter
Rancho Pico Junior High School,Santa Clarita,34.401142,-118.592468,91381,9,public
Park View Elementary School,Ripon,37.759949,-121.131622,95366,9,public
Mark West Charter School,Santa Rosa,38.502514,-122.759422,95403,9,charter
Stone Ranch Elementary School,San Diego,33.0051,-117.116554,92127,9,public
Robert C. Fisler Elementary School,Fullerton,33.884922,-117.962219,92833,9,public
Academy Of The Redwoods,Fortuna,40.698433,-124.195374,95501,9,public
Mark Keppel High School,Alhambra,34.07069,-118.111534,91801,9,public
Whitney High School,Rocklin,38.835178,-121.287819,95765,9,public
Arcadia High School,Arcadia,34.129818,-118.038368,91007,9,public
Pacific Rim Elementary School,Carlsbad,33.110909,-117.305359,92011,9,public
Campolindo High School,Lafayette,37.866898,-122.127052,94556,10,public
Miramonte High School,Lafayette,37.841278,-122.14827,94563,10,public
Willma Cavitt Junior High School,Granite Bay,38.738171,-121.167458,95746,10,public
Greenhills Elementary School,Granite Bay,38.74995,-121.216003,95746,10,public
Oakhills Elementary School,Granite Bay,38.731045,-121.206482,95746,10,public
Granite Bay High School,Roseville,38.731174,-121.210876,95746,10,public
Burton Valley Elementary School,Lafayette,37.86195,-122.09333,94549,10,public
Carleton P. Lightfoot Elementary School,Etiwanda,34.127613,-117.5504,91701,10,public
Hillside Elementary School,San Bernardino,34.174023,-117.290619,92407,10,public
Richardson PREP HI Middle School,San Bernardino,34.092598,-117.306648,92410,10,public
Monte Vista High School,Danville,37.843845,-121.98175,94526,10,public
Lynbrook High School,Sunnyvale,37.30117,-122.005333,95129,10,public
Monta Vista High School,Sunnyvale,37.314838,-122.056664,95014,10,public
San Ramon Valley High School,Danville,37.825649,-122.006523,94526,10,public
Soar High (Students on Academic Rise) School,Lancaster,34.67617,-118.185371,93536,10,public
William & Marian Ghidotti High School,Grass Valley,39.235832,-121.047508,95945,10,public
El Segundo High School,El Segundo,33.924847,-118.415215,90245,10,public
Dougherty Valley High School,Danville,37.769375,-121.901619,94582,10,public
University High School,Fresno,36.81028,-119.744286,93740,10,charter
Granite Ridge Intermediate School,Clovis,36.889668,-119.732727,93730,10,public
Clovis North High School,Clovis,36.889668,-119.732727,93730,10,public
Dr. T. J. Owens Gilroy Early College Academy,Gilroy,36.973255,-121.568558,95020,10,public
Anderson W. Clark Magnet High School,Glendale,34.237286,-118.25399,91214,10,public
Valley View Elementary School,Glendale,34.239254,-118.250069,91214,10,public
Hermosa View Elementary School,Hermosa Beach,33.869045,-118.390549,90254,10,public
Balboa Gifted/High Ability Magnet Elementary School,Los Angeles,34.248325,-118.502945,91325,10,public
Downtown Business High School,Los Angeles,34.063046,-118.250412,90012,10,public
Thomas S. Hart Middle School,Pleasanton,37.685783,-121.896904,94588,9,public
Diablo Vista Middle School,Danville,37.798965,-121.897751,94506,9,public
Century Elementary School,Clovis,36.84761,-119.692421,93611,9,public
Quail Lake Environmental Charter School,Sanger,36.794693,-119.598839,93619,9,charter
Sanger Academy Charter,Sanger,36.701729,-119.567833,93657,9,charter
Ridgecrest Intermediate School,Palos Verdes Estates,33.766495,-118.378586,90275,9,public
Newport Coast Elementary School,Costa Mesa,33.605648,-117.825722,92657,9,public
H. Clarke Powers Elementary School,Loomis,38.831001,-121.202888,95650,9,public
Granite Oaks Middle School,Rocklin,38.821262,-121.251701,95765,9,public
Valley View Elementary School,Rocklin,38.814407,-121.24102,95765,9,public
Martin Luther King Jr. High School,Riverside,33.883812,-117.334442,92508,9,public
Abby Reinke Elementary School,Temecula,33.491848,-117.087372,92592,9,public
Cole Canyon Elementary School,Murrieta,33.575138,-117.246811,92562,9,public
Sage Canyon School,San Diego,32.92606,-117.203812,92130,9,public
Georgina P. Blach Junior High School,Los Altos,37.363956,-122.082855,94024,10,public
Los Gatos High School,Los Gatos,37.222404,-121.976562,95030,10,public
Saratoga High School,Los Gatos,37.266972,-122.031403,95070,10,public
Parkview Elementary School,Chula Vista,32.613731,-117.031197,91911,10,public
Coronado High School,Coronado,32.691898,-117.178352,92118,10,public
Helix High School,El Cajon,32.755905,-117.03981,91941,10,charter
Middle College High School,Richmond,37.968891,-122.340088,94806,10,public
R. Roger Rowe Elementary School,Rancho Santa Fe,33.021561,-117.20681,92067,10,public
Bird Rock Elementary School,San Diego,32.810806,-117.264153,92037,10,public
